"customer_id","age","sex","home_latitude","home_longitude"
c_1,41,man,35.092193,136.512347
c_2,38,man,35.325076,139.410551
c_3,49,woman,35.120543,136.511179
c_4,43,man,43.034868,141.240314
c_5,31,man,35.102661,136.523797
c_6,52,man,34.440768,135.390487
c_7,50,man,43.015758,141.231321
c_8,65,woman,38.201268,140.465961
c_9,36,woman,33.322800,130.330689
c_10,34,woman,34.290414,132.302601
c_11,73,man,33.305638,130.301117
c_12,46,man,34.303275,132.303617
c_13,47,woman,43.012574,141.241724
c_14,79,woman,43.014589,141.224827
c_15,25,woman,43.021940,141.242014
c_16,63,woman,34.313161,132.281303
c_17,48,woman,35.085512,136.555321
c_18,72,man,43.013103,141.270272
c_19,38,man,34.475630,135.364272
c_20,43,woman,34.441081,135.392539
c_21,62,woman,34.474045,135.382143
c_22,37,man,34.473537,135.373961
c_23,36,man,43.045593,141.234227
c_24,30,man,35.133817,136.521859
c_25,86,woman,35.322279,139.404068
c_26,63,man,38.181856,140.494706
c_27,67,man,38.183491,140.444737
c_28,77,woman,35.400610,139.412320
c_29,66,man,38.172894,140.481928
c_30,35,woman,35.402732,139.420984
c_31,67,man,35.454043,139.411300
c_32,64,woman,35.131994,136.504940
c_33,41,woman,33.283444,130.304177
c_34,60,woman,38.224811,140.460686
c_35,62,man,34.474531,135.411238
c_36,54,man,35.104021,136.522311
c_37,38,man,35.094707,136.515275
c_38,37,woman,33.290706,130.343667
c_39,40,woman,33.300625,130.304997
c_40,65,man,33.293533,130.311114
c_41,52,woman,34.304776,132.304857
c_42,61,woman,38.201950,140.462682
c_43,51,man,34.295938,132.294760
c_44,44,man,34.434726,135.410120
c_45,56,woman,35.405891,139.415619
c_46,48,woman,38.172966,140.450271
c_47,66,woman,35.420167,139.420175
c_48,36,man,34.341967,132.255332
c_49,65,man,34.470881,135.394917
c_50,36,woman,35.410896,139.424439
c_51,63,woman,35.111421,136.554358
c_52,38,man,33.322999,130.334843
c_53,32,woman,35.435790,139.461928
c_54,38,woman,35.122358,136.552283
c_55,45,man,34.301456,132.274129
c_56,41,woman,43.055803,141.230478
c_57,44,man,35.115098,136.504344
c_58,39,woman,34.484017,135.391789
c_59,67,man,33.275877,130.291401
c_60,70,woman,43.040358,141.232545
